ID,Prompt1,Prompt2,Prompt3,Prompt4,Prompt5
5,4.375,3.8333,4.5714,4.4,4.1333
10,4.4286,4.1667,4.5714,4.3333,4.05
34,4.4,4.3333,4.7143,4.4,4.6389
32,3.6667,3.1667,3.6667,4,3.56
3,4,4,3.6667,4,4.4
30,4,4,4.6667,3.8,4.5
8,4,3.8333,3.4286,3.8,4.15
17,4.2857,4.4444,4.7143,3.8,3.4
22,3.4286,3.5556,3.5,3.8,3.7
14,3.3333,3.7143,4,3.6667,3.8056
16,3.6,4,3.7143,3.6667,3.25
47,4.4,3.6667,4.1429,3.6,4.6
26,4,4,4,3.6,3.8
24,3.6667,3.5,3.4286,3.6,3.8333
36,4.2143,4.1667,4,3.5,4.0357
33,3.6667,3.6667,3.8571,3.5,3.9167
29,3.5,3.5,3.2857,3.4286,4.0833
18,4.1667,3.5714,3.8571,3.4,3.8889
20,3.8,3.5556,3.4,3.3333,4
28,3.78,3.76,3.82,3.57,3.87
39,3.4444,3.7143,3.6667,3.25,3.4333
21,3,4.4,3.8571,3,4.2
46,3.7273,3.9,4.1667,3,3.4
45,3.1818,3.1667,3.1667,3,3.8889
41,3.1667,3.2,3.2857,2.6,2.8
42,3.1667,2.875,2.25,2.6667,3.2